Dataset order,Sepal length,Sepal width,Petal length,Petal width,Species
1,Short,Wide,Short,Thin,I. setosa
2,Short,Medium,Short,Thin,I. setosa
3,Short,Medium,Short,Thin,I. setosa
4,Short,Medium,Short,Thin,I. setosa
5,Short,Wide,Short,Thin,I. setosa
6,Short,Wide,Short,Thin,I. setosa
7,Short,Wide,Short,Thin,I. setosa
8,Short,Wide,Short,Thin,I. setosa
9,Short,Narrow,Short,Thin,I. setosa
10,Short,Medium,Short,Thin,I. setosa
11,Short,Wide,Short,Thin,I. setosa
12,Short,Wide,Short,Thin,I. setosa
13,Short,Medium,Short,Thin,I. setosa
14,Short,Medium,Short,Thin,I. setosa
15,Medium,Wide,Short,Thin,I. setosa
16,Medium,Wide,Short,Thin,I. setosa
17,Short,Wide,Short,Thin,I. setosa
18,Short,Wide,Short,Thin,I. setosa
19,Medium,Wide,Short,Thin,I. setosa
20,Short,Wide,Short,Thin,I. setosa
21,Short,Wide,Short,Thin,I. setosa
22,Short,Wide,Short,Thin,I. setosa
23,Short,Wide,Short,Thin,I. setosa
24,Short,Wide,Short,Thin,I. setosa
25,Short,Wide,Short,Thin,I. setosa
26,Short,Medium,Short,Thin,I. setosa
27,Short,Wide,Short,Thin,I. setosa
28,Short,Wide,Short,Thin,I. setosa
29,Short,Wide,Short,Thin,I. setosa
30,Short,Medium,Short,Thin,I. setosa
31,Short,Medium,Short,Thin,I. setosa
32,Short,Wide,Short,Thin,I. setosa
33,Short,Wide,Short,Thin,I. setosa
34,Medium,Wide,Short,Thin,I. setosa
35,Short,Medium,Short,Thin,I. setosa
36,Short,Medium,Short,Thin,I. setosa
37,Medium,Wide,Short,Thin,I. setosa
38,Short,Wide,Short,Thin,I. setosa
39,Short,Medium,Short,Thin,I. setosa
40,Short,Wide,Short,Thin,I. setosa
41,Short,Wide,Short,Thin,I. setosa
42,Short,Narrow,Short,Thin,I. setosa
43,Short,Medium,Short,Thin,I. setosa
44,Short,Wide,Short,Thin,I. setosa
45,Short,Wide,Short,Thin,I. setosa
46,Short,Medium,Short,Thin,I. setosa
47,Short,Wide,Short,Thin,I. setosa
48,Short,Medium,Short,Thin,I. setosa
49,Short,Wide,Short,Thin,I. setosa
50,Short,Wide,Short,Thin,I. setosa
51,Long,Medium,Medium,Medium,I. versicolor
52,Long,Medium,Medium,Medium,I. versicolor
53,Long,Medium,Medium,Medium,I. versicolor
54,Medium,Narrow,Medium,Medium,I. versicolor
55,Long,Narrow,Medium,Medium,I. versicolor
56,Medium,Narrow,Medium,Medium,I. versicolor
57,Medium,Wide,Medium,Medium,I. versicolor
58,Short,Narrow,Medium,Medium,I. versicolor
59,Long,Narrow,Medium,Medium,I. versicolor
60,Short,Narrow,Medium,Medium,I. versicolor
61,Short,Narrow,Medium,Medium,I. versicolor
62,Medium,Medium,Medium,Medium,I. versicolor
63,Medium,Narrow,Medium,Medium,I. versicolor
64,Medium,Narrow,Medium,Medium,I. versicolor
65,Medium,Narrow,Medium,Medium,I. versicolor
66,Long,Medium,Medium,Medium,I. versicolor
67,Medium,Medium,Medium,Medium,I. versicolor
68,Medium,Narrow,Medium,Medium,I. versicolor
69,Medium,Narrow,Medium,Medium,I. versicolor
70,Medium,Narrow,Medium,Medium,I. versicolor
71,Medium,Medium,Medium,Thick,I. versicolor
72,Medium,Narrow,Medium,Medium,I. versicolor
73,Medium,Narrow,Medium,Medium,I. versicolor
74,Medium,Narrow,Medium,Medium,I. versicolor
75,Long,Narrow,Medium,Medium,I. versicolor
76,Long,Medium,Medium,Medium,I. versicolor
77,Long,Narrow,Medium,Medium,I. versicolor
78,Long,Medium,Long,Thick,I. versicolor
79,Medium,Narrow,Medium,Medium,I. versicolor
80,Medium,Narrow,Medium,Medium,I. versicolor
81,Medium,Narrow,Medium,Medium,I. versicolor
82,Medium,Narrow,Medium,Medium,I. versicolor
83,Medium,Narrow,Medium,Medium,I. versicolor
84,Medium,Narrow,Long,Medium,I. versicolor
85,Short,Medium,Medium,Medium,I. versicolor
86,Medium,Wide,Medium,Medium,I. versicolor
87,Long,Medium,Medium,Medium,I. versicolor
88,Medium,Narrow,Medium,Medium,I. versicolor
89,Medium,Medium,Medium,Medium,I. versicolor
90,Medium,Narrow,Medium,Medium,I. versicolor
91,Medium,Narrow,Medium,Medium,I. versicolor
92,Medium,Medium,Medium,Medium,I. versicolor
93,Medium,Narrow,Medium,Medium,I. versicolor
94,Short,Narrow,Medium,Medium,I. versicolor
95,Medium,Narrow,Medium,Medium,I. versicolor
96,Medium,Medium,Medium,Medium,I. versicolor
97,Medium,Narrow,Medium,Medium,I. versicolor
98,Medium,Narrow,Medium,Medium,I. versicolor
99,Short,Narrow,Medium,Medium,I. versicolor
100,Medium,Narrow,Medium,Medium,I. versicolor
101,Medium,Wide,Long,Thick,I. virginica
102,Medium,Narrow,Long,Thick,I. virginica
103,Long,Medium,Long,Thick,I. virginica
104,Medium,Narrow,Long,Thick,I. virginica
105,Long,Medium,Long,Thick,I. virginica
106,Long,Medium,Long,Thick,I. virginica
107,Short,Narrow,Medium,Thick,I. virginica
108,Long,Narrow,Long,Thick,I. virginica
109,Long,Narrow,Long,Thick,I. virginica
110,Long,Wide,Long,Thick,I. virginica
111,Long,Medium,Long,Thick,I. virginica
112,Long,Narrow,Long,Thick,I. virginica
113,Long,Medium,Long,Thick,I. virginica
114,Medium,Narrow,Long,Thick,I. virginica
115,Medium,Narrow,Long,Thick,I. virginica
116,Long,Medium,Long,Thick,I. virginica
117,Long,Medium,Long,Thick,I. virginica
118,Long,Wide,Long,Thick,I. virginica
119,Long,Narrow,Long,Thick,I. virginica
120,Medium,Narrow,Long,Medium,I. virginica
121,Long,Medium,Long,Thick,I. virginica
122,Medium,Narrow,Medium,Thick,I. virginica
123,Long,Narrow,Long,Thick,I. virginica
124,Medium,Narrow,Medium,Thick,I. virginica
125,Long,Wide,Long,Thick,I. virginica
126,Long,Medium,Long,Thick,I. virginica
127,Medium,Narrow,Medium,Thick,I. virginica
128,Medium,Medium,Medium,Thick,I. virginica
129,Long,Narrow,Long,Thick,I. virginica
130,Long,Medium,Long,Medium,I. virginica
131,Long,Narrow,Long,Thick,I. virginica
132,Long,Wide,Long,Thick,I. virginica
133,Long,Narrow,Long,Thick,I. virginica
134,Medium,Narrow,Long,Medium,I. virginica
135,Medium,Narrow,Long,Medium,I. virginica
136,Long,Medium,Long,Thick,I. virginica
137,Medium,Wide,Long,Thick,I. virginica
138,Long,Medium,Long,Thick,I. virginica
139,Medium,Medium,Medium,Thick,I. virginica
140,Long,Medium,Long,Thick,I. virginica
141,Long,Medium,Long,Thick,I. virginica
142,Long,Medium,Long,Thick,I. virginica
143,Medium,Narrow,Long,Thick,I. virginica
144,Long,Medium,Long,Thick,I. virginica
145,Long,Wide,Long,Thick,I. virginica
146,Long,Medium,Long,Thick,I. virginica
147,Medium,Narrow,Long,Thick,I. virginica
148,Long,Medium,Long,Thick,I. virginica
149,Medium,Wide,Long,Thick,I. virginica
150,Medium,Medium,Long,Thick,I. virginica
